NAME;DURABILITY;SORTING ID;;ID DEC;ID HEX;;Upgrades;;;;;
Spiked Shield;160;3B9840;;1470000;166E30;;Full;;;160 3B9840;;1470000 166E30
Crystal Shield;250;3C1540;;1471000;167218;;None;;;250 3C1540;;1471000 167218
Sunlight Shield;280;3B1B40;;1472000;167600;;Full;;;280 3B1B40;;1472000 167600
Silver Knight Shield;250;3C9240;;1473000;1679E8;;Twinkling;;;250 3C9240;;1473000 1679E8
Black Knight Shield;250;3C9880;;1474000;167DD0;;Twinkling;;;250 3C9880;;1474000 167DD0
Pierce Shield;180;3B59C0;;1475000;1681B8;;Full;;;180 3B59C0;;1475000 1681B8
Red and White Round Shield;180;33EDC0;;1476000;1685A0;;Full;;;180 33EDC0;;1476000 1685A0
Caduceus Kite Shield;250;3965C0;;1477000;168988;;Full;;;250 3965C0;;1477000 168988
Gargoyle's Shield;300;3BD6C0;;1478000;168D70;;Full;;;300 3BD6C0;;1478000 168D70
Eagle Shield;300;3F8040;;1500000;16E360;;Full;;;300 3F8040;;1500000 16E360
Tower Shield;300;3FBEC0;;1501000;16E748;;Full;;;300 3FBEC0;;1501000 16E748
Giant Shield;300;4009C0;;1502000;16EB30;;Full;;;300 4009C0;;1502000 16EB30
Stone Greatshield;400;407A40;;1503000;16EF18;;Twinkling;;;400 407A40;;1503000 16EF18
Havel's Greatshield;500;40B8C0;;1505000;16F6E8;;Twinkling;;;500 40B8C0;;1505000 16F6E8
Bonewheel Shield;200;403BC0;;1506000;16FAD0;;Full;;;200 403BC0;;1506000 16FAD0
Greatshield of Artorias (East-West Shield);600;382D40;;1507000;16FEB8;;Scales;;;600 382D40;;1507000 16FEB8
Greatshield of Artorias (Wooden Shield);600;386BC0;;1507100;16FF1C;;Scales;;;600 386BC0;;1507100 16FF1C
Greatshield of Artorias (Large Leather Shield);600;38AA40;;1507300;16FFE4;;Scales;;;600 38AA40;;1507300 16FFE4
Greatshield of Artorias (Small Leather Shield);600;3483C0;;1507400;170048;;Scales;;;600 3483C0;;1507400 170048
Greatshield of Artorias (Target Shield);600;353F40;;1507600;170110;;Scales;;;600 353F40;;1507600 170110
Greatshield of Artorias (Buckler);600;3500C0;;1507700;170174;;Scales;;;600 3500C0;;1507700 170174
Greatshield of Artorias (Cracked Round Shield);600;341340;;1507800;1701D8;;Scales;;;600 341340;;1507800 1701D8
Greatshield of Artorias (Leather Shield);600;34C240;;1507500;1700AC;;Scales;;;600 34C240;;1507500 1700AC
Greatshield of Artorias (Plank Shield);600;344540;;1507200;16FF80;;Scales;;;600 344540;;1507200 16FF80
Greatshield of Artorias (Caduceus Round Shield);600;3389C0;;1507900;17023C;;Scales;;;600 3389C0;;1507900 17023C
Greatshield of Artorias (Heater Shield);600;38E8C0;;1508000;1702A0;;Scales;;;600 38E8C0;;1508000 1702A0
Greatshield of Artorias (Knight Shield);600;39E2C0;;1508100;170304;;Scales;;;600 39E2C0;;1508100 170304
Greatshield of Artorias (Tower Kite Shield);600;392740;;1508200;170368;;Scales;;;600 392740;;1508200 170368
Greatshield of Artorias (Grass Crest Shield);600;3A9E40;;1508300;1703CC;;Scales;;;600 3A9E40;;1508300 1703CC
Greatshield of Artorias (Hollow Soldier Shield);600;39A440;;1508400;170430;;Scales;;;600 39A440;;1508400 170430
Greatshield of Artorias (Balder Shield);600;3A2DC0;;1508500;170494;;Scales;;;600 3A2DC0;;1508500 170494
Greatshield of Artorias (Warrior's Round Shield);600;334B40;;1508600;1704F8;;Scales;;;600 334B40;;1508600 1704F8
Greatshield of Artorias (Iron Round Shield);600;3AE940;;1508700;17055C;;Scales;;;600 3AE940;;1508700 17055C
Greatshield of Artorias (Spider Shield);600;3A5FC0;;1508800;1705C0;;Scales;;;600 3A5FC0;;1508800 1705C0
Greatshield of Artorias (Spiked Shield);600;3B9840;;1508900;170624;;Scales;;;600 3B9840;;1508900 170624
Greatshield of Artorias (Sunlight Shield);600;3B1B40;;1509100;1706EC;;Scales;;;600 3B1B40;;1509100 1706EC
Greatshield of Artorias (Pierce Shield);600;3B59C0;;1509000;170688;;Scales;;;600 3B59C0;;1509000 170688
Greatshield of Artorias (Red and White Round Shield);600;33EDC0;;1509200;170750;;Scales;;;600 33EDC0;;1509200 170750
Greatshield of Artorias (Caduceus Kite Shield);600;3965C0;;1509300;1707B4;;Scales;;;600 3965C0;;1509300 1707B4
Greatshield of Artorias (Gargoyle's Shield);600;3BD6C0;;1509400;170818;;Scales;;;600 3BD6C0;;1509400 170818
Greatshield of Artorias (Eagle Shield);600;3F8040;;1509500;17087C;;Scales;;;600 3F8040;;1509500 17087C
Greatshield of Artorias (Tower Shield);600;3FBEC0;;1509600;1708E0;;Scales;;;600 3FBEC0;;1509600 1708E0
Greatshield of Artorias (Giant Shield);600;4009C0;;1509700;170944;;Scales;;;600 4009C0;;1509700 170944
Greatshield of Artorias (Bonewheel Shield);600;403BC0;;1509800;1709A8;;Scales;;;600 403BC0;;1509800 1709A8
Greatshield of Artorias (Effigy Shield);600;33C840;;1509900;170A0C;;Scales;;;600 33C840;;1509900 170A0C
Greatshield of Artorias (Sanctus);600;3A0840;;1510000;170A70;;Scales;;;600 3A0840;;1510000 170A70
Greatshield of Artorias (Bloodshield);600;3AC3C0;;1510100;170AD4;;Scales;;;600 3AC3C0;;1510100 170AD4
Greatshield of Artorias (Black Iron Greatshield);600;3FE440;;1510200;170B38;;Scales;;;600 3FE440;;1510200 170B38
Effigy Shield;180;33C840;;9000000;895440;;Full;;;180 33C840;;9000000 895440
Sanctus;410;3A0840;;9001000;895828;;Full;;;410 3A0840;;9001000 895828
Bloodshield;240;3AC3C0;;9002000;895C10;;Full;;;240 3AC3C0;;9002000 895C10
Black Iron Greatshield;230;3FE440;;9003000;895FF8;;Full;;;230 3FE440;;9003000 895FF8
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
